,Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
157,157,2MASS J16262034+3925190,110.0,7.296173,0.0009832256400000002,2004.0,Hercules
158,158,2MASSW J1632291+190441,50.0,5.035387,0.00092595036,1999.0,Hercules
160,160,LSPM J1658+7027,60.0,7.5016989999999995,0.00099277152,2000.0,Draco
165,165,LSR J1835,18.5,7.912750999999999,0.00102140916,2003.0,Lyra
173,173,PSO J318,80.0,0.6679594999999999,0.00146051964,2013.0,Capricornus
181,181,2MASS J22282889-43,35.0,4.316046,0.00089731272,2013.0,Grus
225,225,WISE 0410,20.0,0.616578,0.00111686796,2010.0,Taurus
229,229,WISE 0458+,35.9,1.541445,0.0040092696,2010.0,Camelopardalis
230,230,WISE 0458+,35.9,1.0276299999999998,0.0036274344,2010.0,Camelopardalis
284,284,WISE 1405,25.3,3.08289,0.00082094568,2010.0,Ursa Major
