Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
112,2MASS J11145133−26,18.2,33,0.96,2005,Hydra
113,T,137,30,2.20,,
114,2MASSW J1146345+2,89,,,,
115,2MASS J11544223-3400390,129,37,1.50,2003,Hydra
116,2MASSW J1155395-372735,31,64,1.00,2002,Centaurus
117,TW,,,,,
118,TW,,,,,
119,2MASS J12074836-39,217,17,1.71,n/a,
120,2MASSI J1217110-031113,36,42,0.94,1999,Virgo
121,2MASS J12255432-27,43,,,n/a,
122,DENIS-P J1228.2,66,,,1999,Corvus
123,2M 1237,45.6,41,0.94,2003,Draco
124,2MASSW J1239272+551537,119,,,2000,Ursa Major
125,T,262,2.00,25,n/a,
126,SDSSp J125453.90-012247.4,38,47,0.98,2000,Virgo
127,Ke,61,63,0.98,1997,Hydra
128,Ke,61,58,0.98,1997,Hydra
129,2MASS J13204427+04,101,67,1.01,n/a,
130,SDSSp J132629.82-003831.5,65,51,0.97,2000,Virgo
131,SDSSp J134646.45-003150.4,48,44,0.94,2000,Virgo
132,2MASS J13595510-40,51,63,1.00,n/a,
133,ULAS J141623.94+134,29.7,32,0.96,n/a,
134,SDSS J141659.78+500626.4,149,59,0.99,2006,Boötes
135,DENIS-P J142527.97-365023.4,38,21,1.32,2004,Centaurus
136,LHS,38.5,76,1.06,,Boötes
137,2MASS J14392837+19,47,72,1.03,n/a,
138,LSPM J1440,72,92,1.19,n/a,
139,2MASS J14482563+1031590,47,59,0.99,2003,Boötes
140,CFBDSIR 145,104,11.1,1.5,2010,Boötes
141,CFBDSIR 145,104,9,1.3,2010,Boötes
142,TVLM 513-,35.1,75,1.05,n/a,Boötes
143,2MASS 1503,20.7,44,0.94,2003,Boötes
144,CFBDS J150411+1,71,44,0.94,n/a,
145,2MASSW J1506544+132106,46,69,1.02,2000,Boötes
146,2MASS 1507,23.9,60,0.99,2000,Libra
147,TVLM 868-1,53,79,1.08,n/a,
148,SDSS J151114.66+060742.9,89,,,2006,Serpens
